condition,action,fitness,prediction,error,numerosity,experience,time_stamp,action_set_size
1####1,1,0.08985325924920233,858.0211679127045,198.18714023436195,2,39,2973.0,30.55902612830859
0#0110,1,0.04504806986603002,1000.0,0.0,1,2,2940.0,38.5
#1##1#,1,0.007108534314007958,547.7294749777919,385.79350444441593,1,22,2986.0,38.72198533717138
00####,1,0.006301957742145763,790.153728,313.94365440000007,2,16,2999.0,53.813145661440004
#0###0,0,0.0031834292996368776,792.7424000000001,318.12266666666665,1,11,2944.0,26.7800576
1#####,1,0.019477499965543883,656.9402577609259,347.23527368665066,3,45,2973.0,36.480039439682365
#1#0#0,0,0.09749591689138973,1000.0,0.0,1,13,2978.0,22.994870272
01#01#,0,0.07785788871599117,1000.0,0.0,1,4,2932.0,21.5
11##0#,0,0.008023260546570347,508.16,400.29866666666663,1,9,2997.0,28.5776
######,1,0.0008207020180039093,642.4606087945273,392.87764417857886,1,54,2999.0,43.51780186607358
0##00#,1,0.05152313764028858,333.3333333333333,222.22222222222226,1,3,2929.0,53.0
####11,1,0.0013840372022862028,977.4600116305921,76.37940774283938,1,19,2973.0,38.57890120469709
#1#01#,1,0.012220494098248312,384.0,347.73333333333335,1,7,2986.0,36.664
01##1#,1,0.009322537078228011,569.6,339.20000000000005,1,8,2986.0,37.5152
00##01,0,0.01568775063874345,872.0,172.8,1,7,2972.0,40.168
00##10,1,0.06069997043297029,500.0,250.0,1,2,2958.0,44.0
#1####,0,0.011052036712670306,654.921879552,391.7500983978667,1,16,2997.0,27.650803531776
0#11##,1,0.02740028306985877,1000.0,0.0,1,3,2999.0,54.666666666666664
#00#0#,0,0.0876809198865627,1000.0,0.0,1,0,2972.0,35.00882187210927
###1##,0,0.11708029314440442,500.0,333.3333333333333,2,4,2995.0,34.75
#1##00,0,0.09533920357160391,1000.0,0.0,1,1,2977.0,25.0
#10##0,0,0.09327482963637017,1000.0,0.0,1,2,2978.0,26.5
#0##0#,0,0.01829980880467475,915.1709038118914,143.39287943215524,1,0,2979.0,32.89472490765669
1###1#,0,0.05304302837635653,1000.0,0.0,1,3,2985.0,19.333333333333332
1#11#0,0,0.08997746747498964,1000.0,0.0,1,0,2985.0,19.589781953721115
11####,0,0.04914636384763063,1000.0,0.0,1,1,2997.0,20.0
#1#0#1,0,0.04754406594213852,0.0,0.0,1,0,2997.0,48.63636459152893
