condition,action,fitness,prediction,error,numerosity,experience,time_stamp,action_set_size
##0#0#,0,0.0004958856980569294,712.2299199974178,321.7381916399165,1,36,2998.0,42.924599255048875
1##0##,0,0.006306918541232259,728.2577016422399,346.355409747968,1,19,2988.0,30.92199706263552
#1#11#,1,0.08405767716341242,1000.0,0.0,2,9,2895.0,33.01184
100###,0,0.009039636746157693,795.2,300.37333333333333,1,8,2975.0,39.456
###000,1,0.02127826188229083,204.8,300.37333333333333,1,8,2892.0,62.276799999999994
1####1,1,0.000693499956139067,898.1002311067326,220.09436745159718,1,26,2995.0,20.89423252292211
00#0##,1,0.27980715181891913,409.6,327.68,3,9,2968.0,57.541760000000004
##0#00,1,0.013883400760696836,160.0,210.66666666666669,1,6,2939.0,53.08
10####,0,0.005824299343396405,838.8338688,289.2042513066667,2,14,2975.0,35.5801501696
#0#00#,1,0.02942446981937024,0.0,0.0,1,5,2968.0,68.4
#1#0#1,0,0.03657854180724436,666.6666666666667,222.22222222222226,1,3,2988.0,30.0
11101#,0,0.12410420585423976,1000.0,0.0,1,2,2987.0,27.5
#1#0##,0,0.05758628832903437,897.6,143.35999999999999,1,8,2991.0,33.3184
#0111#,1,0.18655269062963056,1000.0,0.0,1,2,2953.0,14.5
#0####,1,0.022689269723880356,564.8,392.53333333333336,1,8,2973.0,28.6512
1#####,0,0.12146755148912022,672.0,262.4,2,11,2998.0,32.41024
##0###,1,0.019131140496907353,750.0,270.8333333333333,1,4,2985.0,29.5
00####,1,0.19758470571004702,1000.0,0.0,1,2,2968.0,17.0
10#1#1,1,0.03497310450385635,370.3992879052957,34.23008719203185,1,0,2973.0,31.529517005671654
##1101,1,0.12797847748382846,1000.0,0.0,1,1,2973.0,19.0
